label,id,name,des,last refreshed,from,to
0,100033,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,ISIN Div Payout/ ISIN Growth: INF209K01165,14-05-2021 20:00,03-04-2006,14-05-2021
1,100034,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,ISIN Div Payout/ ISIN Growth: INF209K01157<br><br>ISIN Div Reinvestment: INF209K01CE5,14-05-2021 20:00,03-04-2006,14-05-2021
2,100037,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,ISIN Div Payout/ ISIN Growth: INF209K01587<br><br>ISIN Div Reinvestment: INF209K01CY3,14-05-2021 20:00,03-04-2006,14-05-2021
4,100041,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,ISIN Div Reinvestment: INF209K01KN9,14-05-2021 20:00,02-04-2006,14-05-2021
5,100042,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Retail (Growth),ISIN Div Payout/ ISIN Growth: INF209K01ME4,14-05-2021 20:00,02-04-2006,14-05-2021
6,100043,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Institutional (Growth),ISIN Div Payout/ ISIN Growth: INF209K01RT1,14-05-2021 20:00,02-04-2006,14-05-2021
7,100044,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Retail - IDCW,ISIN Div Reinvestment: INF209K01KP4,14-05-2021 20:00,02-04-2006,14-05-2021
8,100046,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Daily IDCW,ISIN Div Payout/ ISIN Growth: INF209K01KQ2<br><br>ISIN Div Reinvestment: INF209K01SQ5,14-05-2021 20:00,02-04-2006,14-05-2021
9,100047,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund - Growth,ISIN Div Payout/ ISIN Growth: INF209K01RU9,14-05-2021 20:00,02-04-2006,14-05-2021
10,100048,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,ISIN Div Payout/ ISIN Growth: INF209KA1LK7<br><br>ISIN Div Reinvestment: INF209K01KY6,14-05-2021 20:00,02-04-2006,14-05-2021
15,100063,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life MNC Fund - Regular - IDCW,ISIN Div Payout/ ISIN Growth: INF209K01314<br><br>ISIN Div Reinvestment: INF209K01CL0,14-05-2021 20:00,03-04-2006,14-05-2021
19,100077,DSP Mutual Fund - DSP Bond Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF740K01565<br><br>ISIN Div Reinvestment: INF740K01995,14-05-2021 20:00,03-04-2006,14-05-2021
23,100081,DSP Mutual Fund - DSP Equity & Bond Fund- Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01318,14-05-2021 20:00,03-04-2006,14-05-2021
25,100084,DSP Mutual Fund - DSP Government Securities Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01615,14-05-2021 20:00,03-04-2006,14-05-2021
26,100085,DSP Mutual Fund - DSP Government Securities Fund - Regular Plan - IDCW,ISIN Div Payout/ ISIN Growth: INF740K01607<br><br>ISIN Div Reinvestment: INF740K01AD5,14-05-2021 20:00,03-04-2006,14-05-2021
28,100087,DSP Mutual Fund - DSP Savings Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01714,14-05-2021 20:00,03-04-2006,14-05-2021
29,100088,DSP Mutual Fund - DSP Savings Fund - Regular Plan - IDCW,ISIN Div Payout/ ISIN Growth: INF740K01706<br><br>ISIN Div Reinvestment: INF740K01AJ2,14-05-2021 20:00,03-04-2006,14-05-2021
31,100119,HDFC Mutual Fund - HDFC Balanced Advantage Fund - Growth Plan,ISIN Div Payout/ ISIN Growth: INF179K01830,14-05-2021 20:00,03-04-2006,14-05-2021
41,100174,quant Mutual Fund - quant Tax Plan - IDCW Option - Regular Plan,ISIN Div Payout/ ISIN Growth: INF966L01119,14-05-2021 20:00,03-04-2006,14-05-2021
67,100312,LIC Mutual Fund - LIC MF Flexi Cap Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01063<br><br>ISIN Div Reinvestment: INF767K01055,14-05-2021 20:00,03-04-2006,14-05-2021
69,100314,LIC Mutual Fund - LIC MF Bond Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01907<br><br>ISIN Div Reinvestment: INF767K01915,14-05-2021 20:00,03-04-2006,14-05-2021
71,100316,LIC Mutual Fund - LIC MF Government Securities Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01683<br><br>ISIN Div Reinvestment: INF767K01691,14-05-2021 20:00,03-04-2006,14-05-2021
73,100318,LIC Mutual Fund - LIC MF Government Securities Fund-PF Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01717<br><br>ISIN Div Reinvestment: INF767K01725,14-05-2021 20:00,03-04-2006,14-05-2021
75,100321,LIC Mutual Fund - LIC MF Equity Hybrid Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01022<br><br>ISIN Div Reinvestment: INF767K01014,14-05-2021 20:00,03-04-2006,14-05-2021
81,100348,ICICI Prudential Mutual Fund - ICICI Prudential Large & Mid Cap Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF109K01EQ7<br><br>ISIN Div Reinvestment: INF109K01449,14-05-2021 20:00,02-04-2006,14-05-2021
83,100351,ICICI Prudential Mutual Fund - ICICI Prudential FMCG Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF109K01EO2<br><br>ISIN Div Reinvestment: INF109K01423,14-05-2021 20:00,02-04-2006,14-05-2021
