,id,name,des,last refreshed,from,to
0,100033,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,ISIN Div Payout/ ISIN Growth: INF209K01165,14-05-2021 20:00,03-04-2006,14-05-2021
1,100034,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,ISIN Div Payout/ ISIN Growth: INF209K01157<br><br>ISIN Div Reinvestment: INF209K01CE5,14-05-2021 20:00,03-04-2006,14-05-2021
2,100037,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,ISIN Div Payout/ ISIN Growth: INF209K01587<br><br>ISIN Div Reinvestment: INF209K01CY3,14-05-2021 20:00,03-04-2006,14-05-2021
3,100038,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Income Fund - Growth - Regular Plan,ISIN Div Payout/ ISIN Growth: INF209K01579,14-05-2021 20:00,03-04-2006,14-05-2021
4,100041,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,ISIN Div Reinvestment: INF209K01KN9,14-05-2021 20:00,02-04-2006,14-05-2021
5,100042,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Retail (Growth),ISIN Div Payout/ ISIN Growth: INF209K01ME4,14-05-2021 20:00,02-04-2006,14-05-2021
6,100043,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund-Institutional (Growth),ISIN Div Payout/ ISIN Growth: INF209K01RT1,14-05-2021 20:00,02-04-2006,14-05-2021
7,100044,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Retail - IDCW,ISIN Div Reinvestment: INF209K01KP4,14-05-2021 20:00,02-04-2006,14-05-2021
8,100046,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Daily IDCW,ISIN Div Payout/ ISIN Growth: INF209K01KQ2<br><br>ISIN Div Reinvestment: INF209K01SQ5,14-05-2021 20:00,02-04-2006,14-05-2021
9,100047,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund - Growth,ISIN Div Payout/ ISIN Growth: INF209K01RU9,14-05-2021 20:00,02-04-2006,14-05-2021
10,100048,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,ISIN Div Payout/ ISIN Growth: INF209KA1LK7<br><br>ISIN Div Reinvestment: INF209K01KY6,14-05-2021 20:00,02-04-2006,14-05-2021
11,100051,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Liquid Fund -weekly IDCW,ISIN Div Payout/ ISIN Growth: INF209K01KU4<br><br>ISIN Div Reinvestment: INF209KA1LJ9,14-05-2021 20:00,02-04-2006,14-05-2021
12,100057,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,ISIN Div Payout/ ISIN Growth: INF209K01AF6<br><br>ISIN Div Reinvestment: INF209K01DP9,14-05-2021 20:00,03-04-2006,14-05-2021
13,100058,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,ISIN Div Payout/ ISIN Growth: INF209K01AC3<br><br>ISIN Div Reinvestment: INF209K01AD1,14-05-2021 20:00,03-04-2006,14-05-2021
14,100062,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),ISIN Div Reinvestment: INF209K01DQ7,14-05-2021 20:00,03-04-2006,11-02-2011
15,100063,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life MNC Fund - Regular - IDCW,ISIN Div Payout/ ISIN Growth: INF209K01314<br><br>ISIN Div Reinvestment: INF209K01CL0,14-05-2021 20:00,03-04-2006,14-05-2021
16,100064,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,ISIN Div Payout/ ISIN Growth: INF209K01322,14-05-2021 20:00,03-04-2006,14-05-2021
17,100067,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Tax Plan -Regular - IDCW,ISIN Div Payout/ ISIN Growth: INF209K01330<br><br>ISIN Div Reinvestment: INF209K01CM8,14-05-2021 20:00,03-04-2006,14-05-2021
18,100068,Baroda Mutual Fund - BARODA ELSS 96 - Plan A - IDCW,ISIN Div Payout/ ISIN Growth: INF955L01641,14-05-2021 20:00,03-04-2006,14-05-2021
19,100077,DSP Mutual Fund - DSP Bond Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF740K01565<br><br>ISIN Div Reinvestment: INF740K01995,14-05-2021 20:00,03-04-2006,14-05-2021
20,100078,DSP Mutual Fund - DSP Bond Fund - Growth,ISIN Div Payout/ ISIN Growth: INF740K01557,14-05-2021 20:00,03-04-2006,14-05-2021
21,100079,DSP Mutual Fund - DSP Bond Fund - IDCW - Monthly,ISIN Div Payout/ ISIN Growth: INF740K01573<br><br>ISIN Div Reinvestment: INF740K01AA1,14-05-2021 20:00,03-04-2006,14-05-2021
22,100080,DSP Mutual Fund - DSP Flexi Cap Fund - Regular Plan - IDCW,ISIN Div Payout/ ISIN Growth: INF740K01011<br><br>ISIN Div Reinvestment: INF740K01029,14-05-2021 20:00,03-04-2006,14-05-2021
23,100081,DSP Mutual Fund - DSP Equity & Bond Fund- Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01318,14-05-2021 20:00,03-04-2006,14-05-2021
24,100082,DSP Mutual Fund - DSP Equity & Bond Fund- Regular Plan - IDCW,ISIN Div Payout/ ISIN Growth: INF740K01326<br><br>ISIN Div Reinvestment: INF740K01334,14-05-2021 20:00,03-04-2006,14-05-2021
25,100084,DSP Mutual Fund - DSP Government Securities Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01615,14-05-2021 20:00,03-04-2006,14-05-2021
